Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.1400          23.6710       1.3509      22.3201  3837.3
0.1410          23.6441       1.6135      22.0307  3787.5
0.1420          23.6897       1.9276      21.7621  3741.3
0.1430          23.6088       2.2929      21.3159  3664.6
0.1440          23.6196       2.7066      20.9130  3595.3
0.1450          23.6713       3.1612      20.5101  3526.1
0.1460          23.6685       3.6500      20.0186  3441.6
0.1470          23.6464       4.1575      19.4889  3350.5
0.1480          23.5613       4.6684      18.8929  3248.0
0.1490          23.5095       5.1653      18.3441  3153.7
0.1500          23.3675       5.6321      17.7354  3049.0
0.1510          23.3754       6.0511      17.3243  2978.4
0.1520          23.3445       6.4128      16.9316  2910.9
0.1530          23.2548       6.7089      16.5459  2844.6
0.1540          23.1563       6.9381      16.2182  2788.2
0.1550          23.1337       7.1008      16.0329  2756.4
0.1560          23.0221       7.2016      15.8205  2719.8
0.1570          23.0344       7.2496      15.7848  2713.7
0.1580          22.9766       7.2501      15.7265  2703.7
0.1590          22.9651       7.2089      15.7562  2708.8
0.1600          22.9428       7.1303      15.8124  2718.5
0.1610          22.9177       7.0163      15.9014  2733.7
0.1620          22.8620       6.8695      15.9925  2749.4
0.1630          22.8146       6.6943      16.1203  2771.4
0.1640          22.8175       6.4918      16.3257  2806.7
0.1650          22.7488       6.2690      16.4798  2833.2
0.1660          22.6687       6.0294      16.6393  2860.6
0.1670          22.5766       5.7835      16.7931  2887.1
0.1680          22.5582       5.5390      17.0193  2925.9
0.1690          22.5732       5.3021      17.2712  2969.2
0.1700          22.4898       5.0823      17.4075  2992.7
0.1710          22.4505       4.8847      17.5658  3019.9
0.1720          22.4349       4.7150      17.7199  3046.4
0.1730          22.4104       4.5771      17.8333  3065.9
0.1740          22.3694       4.4728      17.8966  3076.8
0.1750          22.3785       4.4028      17.9757  3090.4
0.1760          22.4569       4.3668      18.0902  3110.0
0.1770          22.4089       4.3631      18.0458  3102.4
0.1780          22.3456       4.3888      17.9568  3087.1
0.1790          22.3519       4.4383      17.9136  3079.7
0.1800          22.2964       4.5052      17.7913  3058.7
0.1810          22.2810       4.5823      17.6987  3042.7
0.1820          22.2349       4.6617      17.5732  3021.2
0.1830          22.1800       4.7344      17.4456  2999.2
0.1840          22.1835       4.7930      17.3905  2989.8
0.1850          22.1233       4.8313      17.2920  2972.8
0.1860          22.0745       4.8459      17.2286  2961.9
0.1870          22.0567       4.8346      17.2221  2960.8
0.1880          22.0086       4.7967      17.2119  2959.0
0.1890          21.9752       4.7334      17.2418  2964.2
0.1900          22.0258       4.6454      17.3804  2988.0
0.1910          22.0388       4.5356      17.5032  3009.1
0.1920          22.0440       4.4055      17.6385  3032.4
0.1930          22.0136       4.2608      17.7528  3052.0
0.1940          22.0216       4.1077      17.9139  3079.7
0.1950          22.0054       3.9499      18.0555  3104.1
0.1960          22.0685       3.7901      18.2783  3142.4
0.1970          21.9738       3.6295      18.3443  3153.7
0.1980          21.9788       3.4718      18.5070  3181.7
0.1990          21.9148       3.3204      18.5945  3196.7
0.2000          21.9301       3.1771      18.7530  3224.0
0.2010          21.9078       3.0415      18.8663  3243.5
0.2020          21.8643       2.9180      18.9462  3257.2
0.2030          21.8504       2.8092      19.0412  3273.5
0.2040          21.7947       2.7163      19.0783  3279.9
0.2050          21.7667       2.6386      19.1281  3288.5
0.2060          21.7177       2.5763      19.1414  3290.8
0.2070          21.6129       2.5307      19.0822  3280.6
0.2080          21.6103       2.4991      19.1112  3285.6
0.2090          21.5375       2.4778      19.0596  3276.7
0.2100          21.4325       2.4651      18.9674  3260.9
0.2110          21.4783       2.4589      19.0194  3269.8
0.2120          21.4554       2.4576      18.9978  3266.1
0.2130          21.4695       2.4587      19.0108  3268.3
0.2140          21.4891       2.4610      19.0281  3271.3
0.2150          21.4565       2.4644      18.9921  3265.1
0.2160          21.3698       2.4678      18.9020  3249.6
0.2170          21.3333       2.4705      18.8629  3242.9
0.2180          21.3214       2.4724      18.8490  3240.5
0.2190          21.2388       2.4726      18.7662  3226.3
0.2200          21.1009       2.4732      18.6277  3202.4
0.2210          21.0316       2.4708      18.5608  3190.9
0.2220          21.0061       2.4678      18.5383  3187.1
0.2230          21.0126       2.4643      18.5483  3188.8
0.2240          21.0090       2.4591      18.5499  3189.1
0.2250          21.0173       2.4533      18.5639  3191.5
0.2260          20.9924       2.4477      18.5447  3188.2
0.2270          20.9550       2.4407      18.5142  3182.9
0.2280          20.9918       2.4324      18.5593  3190.7
0.2290          20.9462       2.4214      18.5248  3184.8
0.2300          20.9172       2.4066      18.5106  3182.3
0.2310          20.8609       2.3887      18.4722  3175.7
0.2320          20.7955       2.3673      18.4282  3168.2
0.2330          20.7646       2.3426      18.4221  3167.1
0.2340          20.6802       2.3160      18.3642  3157.2
0.2350          20.7825       2.2881      18.4945  3179.5
0.2360          20.7456       2.2581      18.4875  3178.4
0.2370          20.7682       2.2256      18.5426  3187.8
0.2380          20.7542       2.1906      18.5636  3191.4
0.2390          20.7109       2.1536      18.5573  3190.4
0.2400          20.7652       2.1149      18.6503  3206.3
0.2410          20.6798       2.0753      18.6044  3198.5
0.2420          20.6720       2.0344      18.6376  3204.2
0.2430          20.6543       1.9916      18.6627  3208.5
0.2440          20.5899       1.9480      18.6419  3204.9
0.2450          20.5848       1.9033      18.6815  3211.7
0.2460          20.4659       1.8582      18.6077  3199.0
0.2470          20.3800       1.8143      18.5657  3191.8
0.2480          20.2945       1.7692      18.5254  3184.9
0.2490          20.2930       1.7247      18.5683  3192.2
0.2500          20.2411       1.6809      18.5602  3190.8
0.2510          20.1575       1.6387      18.5189  3183.7
0.2520          20.0882       1.5986      18.4896  3178.7
0.2530          20.1151       1.5595      18.5556  3190.1
0.2540          20.1400       1.5199      18.6202  3201.2
0.2550          20.1988       1.4807      18.7181  3218.0
0.2560          20.1080       1.4412      18.6668  3209.2
0.2570          20.0825       1.4014      18.6811  3211.6
0.2580          20.1082       1.3598      18.7484  3223.2
0.2590          20.0673       1.3177      18.7496  3223.4
0.2600          19.9473       1.2763      18.6710  3209.9
0.2610          19.9228       1.2358      18.6870  3212.6
0.2620          19.9617       1.1945      18.7672  3226.4
0.2630          19.9571       1.1523      18.8048  3232.9
0.2640          19.9446       1.1090      18.8356  3238.2
0.2650          19.9473       1.0646      18.8827  3246.3
0.2660          19.9748       1.0189      18.9559  3258.9
0.2670          19.9796       0.9712      19.0084  3267.9
0.2680          19.9316       0.9211      19.0106  3268.3
0.2690          19.8724       0.8681      19.0043  3267.2
0.2700          19.8808       0.8138      19.0670  3278.0
0.2710          19.8971       0.7582      19.1389  3290.3
0.2720          19.9418       0.7003      19.2416  3308.0
0.2730          19.8603       0.6394      19.2209  3304.4
0.2740          19.9142       0.5770      19.3372  3324.4
0.2750          19.8785       0.5147      19.3639  3329.0
0.2760          19.7836       0.4516      19.3320  3323.5
0.2770          19.6808       0.3892      19.2916  3316.6
0.2780          19.6525       0.3274      19.3251  3322.3
0.2790          19.5361       0.2679      19.2682  3312.6
0.2800          19.5160       0.2105      19.3055  3319.0
0.2810          19.4028       0.1545      19.2483  3309.1
0.2820          19.4431       0.1031      19.3400  3324.9
0.2830          19.3677       0.0557      19.3120  3320.1
0.2840          19.3404       0.0137      19.3267  3322.6
0.2850          19.3427      -0.0221      19.3647  3329.2
0.2860          19.2844      -0.0483      19.3327  3323.7
0.2870          19.2295      -0.0626      19.2921  3316.7
0.2880          19.1442      -0.0632      19.2074  3302.1
0.2890          19.0911      -0.0485      19.1395  3290.4
0.2900          19.0632      -0.0167      19.0798  3280.2
0.2910          19.0547       0.0343      19.0204  3270.0
0.2920          19.0431       0.1041      18.9389  3256.0
0.2930          19.0343       0.1910      18.8432  3239.5
0.2940          18.9893       0.2934      18.6959  3214.2
0.2950          18.9405       0.4086      18.5319  3186.0
0.2960          18.8514       0.5311      18.3203  3149.6
0.2970          18.7449       0.6564      18.0884  3109.7
0.2980          18.7200       0.7823      17.9377  3083.8
0.2990          18.6725       0.9087      17.7638  3053.9
0.3000          18.6084       1.0346      17.5738  3021.3
0.3010          18.5639       1.1621      17.4018  2991.7
0.3020          18.5159       1.2947      17.2212  2960.6
0.3030          18.5112       1.4361      17.0752  2935.5
0.3040          18.5181       1.5905      16.9277  2910.2
0.3050          18.4943       1.7601      16.7342  2876.9
0.3060          18.4792       1.9455      16.5336  2842.4
0.3070          18.4541       2.1461      16.3081  2803.7
0.3080          18.4592       2.3585      16.1007  2768.0
0.3090          18.3395       2.5780      15.7615  2709.7
0.3100          18.3303       2.7955      15.5348  2670.7
0.3110          18.3048       3.0030      15.3018  2630.7
0.3120          18.2861       3.1869      15.0993  2595.8
0.3130          18.3052       3.3376      14.9676  2573.2
0.3140          18.2797       3.4476      14.8322  2549.9
0.3150          18.2240       3.5102      14.7138  2529.6
0.3160          18.1681       3.5264      14.6417  2517.2
0.3170          18.1588       3.5009      14.6579  2520.0
0.3180          18.1023       3.4420      14.6602  2520.4
0.3190          18.0695       3.3602      14.7093  2528.8
0.3200          18.0365       3.2651      14.7715  2539.5
0.3210          18.0584       3.1638      14.8946  2560.7
0.3220          18.0240       3.0579      14.9661  2572.9
0.3230          18.0432       2.9518      15.0914  2594.5
0.3240          17.9908       2.8469      15.1439  2603.5
0.3250          17.9474       2.7387      15.2087  2614.7
0.3260          17.9389       2.6276      15.3113  2632.3
0.3270          17.9126       2.5143      15.3983  2647.3
0.3280          17.8642       2.3966      15.4676  2659.2
0.3290          17.8442       2.2766      15.5676  2676.4
0.3300          17.8240       2.1556      15.6684  2693.7
0.3310          17.7778       2.0341      15.7437  2706.6
0.3320          17.7480       1.9131      15.8349  2722.3
0.3330          17.6763       1.7951      15.8812  2730.3
0.3340          17.6129       1.6831      15.9298  2738.6
0.3350          17.5525       1.5761      15.9764  2746.7
0.3360          17.5194       1.4731      16.0463  2758.7
0.3370          17.4413       1.3747      16.0667  2762.2
0.3380          17.4561       1.2822      16.1738  2780.6
0.3390          17.4782       1.1953      16.2829  2799.3
0.3400          17.4265       1.1128      16.3137  2804.6
0.3410          17.3454       1.0369      16.3085  2803.7
0.3420          17.3158       0.9684      16.3474  2810.4
0.3430          17.2911       0.9076      16.3834  2816.6
0.3440          17.3145       0.8570      16.4575  2829.4
0.3450          17.3097       0.8165      16.4932  2835.5
0.3460          17.2675       0.7878      16.4796  2833.2
0.3470          17.1940       0.7720      16.4219  2823.2
0.3480          17.1704       0.7698      16.4006  2819.6
0.3490          17.1955       0.7818      16.4137  2821.8
0.3500          17.1629       0.8089      16.3540  2811.6
0.3510          17.1286       0.8497      16.2789  2798.6
0.3520          17.1496       0.9024      16.2472  2793.2
0.3530          17.1950       0.9657      16.2293  2790.1
0.3540          17.1135       1.0356      16.0779  2764.1
0.3550          17.0859       1.1094      15.9765  2746.7
0.3560          17.0234       1.1834      15.8400  2723.2
0.3570          16.9546       1.2540      15.7006  2699.2
0.3580          16.9245       1.3178      15.6067  2683.1
0.3590          16.8991       1.3694      15.5297  2669.9
0.3600          16.8822       1.4081      15.4741  2660.3
0.3610          16.8116       1.4330      15.3786  2643.9
0.3620          16.7662       1.4427      15.3235  2634.4
0.3630          16.7282       1.4389      15.2893  2628.5
0.3640          16.7511       1.4242      15.3270  2635.0
0.3650          16.7211       1.4016      15.3195  2633.7
0.3660          16.5680       1.3711      15.1969  2612.6
0.3670          16.4960       1.3338      15.1623  2606.7
0.3680          16.4441       1.2928      15.1513  2604.8
0.3690          16.4045       1.2483      15.1563  2605.6
0.3700          16.3900       1.2021      15.1879  2611.1
0.3710          16.3745       1.1557      15.2188  2616.4
0.3720          16.3971       1.1095      15.2877  2628.2
0.3730          16.3445       1.0643      15.2802  2627.0
0.3740          16.3251       1.0211      15.3041  2631.1
0.3750          16.2494       0.9802      15.2692  2625.1
0.3760          16.1560       0.9415      15.2145  2615.7
0.3770          16.1183       0.9042      15.2141  2615.6
0.3780          16.1020       0.8691      15.2328  2618.8
0.3790          16.1266       0.8354      15.2912  2628.8
0.3800          16.0898       0.8038      15.2860  2627.9
0.3810          16.1444       0.7731      15.3713  2642.6
0.3820          16.1344       0.7440      15.3904  2645.9
0.3830          16.0489       0.7171      15.3319  2635.8
0.3840          16.0082       0.6906      15.3176  2633.4
0.3850          15.9738       0.6638      15.3100  2632.1
0.3860          15.9467       0.6346      15.3122  2632.5
0.3870          15.9450       0.6013      15.3436  2637.9
0.3880          15.8800       0.5642      15.3159  2633.1
0.3890          15.8407       0.5213      15.3194  2633.7
0.3900          15.7864       0.4708      15.3156  2633.0
0.3910          15.7852       0.4119      15.3733  2643.0
0.3920          15.7326       0.3453      15.3873  2645.4
0.3930          15.6743       0.2693      15.4050  2648.4
0.3940          15.6542       0.1843      15.4699  2659.6
0.3950          15.6111       0.0913      15.5197  2668.1
0.3960          15.5460      -0.0076      15.5536  2674.0
0.3970          15.4597      -0.1094      15.5691  2676.6
0.3980          15.3899      -0.2105      15.6005  2682.0
0.3990          15.3378      -0.3102      15.6480  2690.2
0.4000          15.3097      -0.4049      15.7146  2701.6
0.4010          15.3244      -0.4922      15.8166  2719.2
0.4020          15.3004      -0.5700      15.8705  2728.4
0.4030          15.2990      -0.6357      15.9347  2739.5
0.4040          15.2237      -0.6867      15.9105  2735.3
0.4050          15.1622      -0.7208      15.8831  2730.6
0.4060          15.1885      -0.7368      15.9253  2737.9
0.4070          15.1920      -0.7339      15.9259  2738.0
0.4080          15.1951      -0.7136      15.9087  2735.0
0.4090          15.1586      -0.6772      15.8358  2722.5
0.4100          15.0304      -0.6260      15.6564  2691.6
0.4110          14.9992      -0.5630      15.5622  2675.4
0.4120          15.0011      -0.4913      15.4924  2663.4
0.4130          14.9333      -0.4148      15.3481  2638.6
0.4140          14.9294      -0.3386      15.2680  2624.8
0.4150          14.9100      -0.2657      15.1757  2609.0
0.4160          14.8900      -0.2001      15.0901  2594.3
0.4170          14.8276      -0.1443      14.9719  2574.0
0.4180          14.7982      -0.1013      14.8995  2561.5
0.4190          14.7941      -0.0737      14.8679  2556.1
0.4200          14.7446      -0.0616      14.8062  2545.5
0.4210          14.7149      -0.0611      14.7760  2540.3
0.4220          14.6643      -0.0709      14.7352  2533.3
0.4230          14.6416      -0.0901      14.7317  2532.7
0.4240          14.6585      -0.1140      14.7725  2539.7
0.4250          14.6774      -0.1377      14.8150  2547.0
0.4260          14.6561      -0.1590      14.8151  2547.0
0.4270          14.6411      -0.1749      14.8160  2547.2
0.4280          14.5691      -0.1829      14.7520  2536.2
0.4290          14.4631      -0.1841      14.6472  2518.1
0.4300          14.4354      -0.1773      14.6127  2512.2
0.4310          14.4266      -0.1647      14.5913  2508.5
0.4320          14.3567      -0.1466      14.5033  2493.4
0.4330          14.3458      -0.1233      14.4692  2487.5
0.4340          14.3608      -0.0985      14.4593  2485.8
0.4350          14.3082      -0.0769      14.3851  2473.1
0.4360          14.2476      -0.0563      14.3039  2459.1
0.4370          14.2569      -0.0398      14.2967  2457.9
0.4380          14.2487      -0.0271      14.2757  2454.3
0.4390          14.2328      -0.0209      14.2537  2450.5
0.4400          14.1813      -0.0212      14.2024  2441.7
0.4410          14.1488      -0.0276      14.1764  2437.2
0.4420          14.0966      -0.0388      14.1354  2430.1
0.4430          14.0811      -0.0533      14.1344  2430.0
0.4440          14.0256      -0.0704      14.0960  2423.4
0.4450          14.0493      -0.0904      14.1397  2430.9
0.4460          14.0469      -0.1110      14.1579  2434.0
0.4470          14.0496      -0.1307      14.1803  2437.9
0.4480          14.0597      -0.1485      14.2082  2442.7
0.4490          14.0663      -0.1623      14.2286  2446.2
0.4500          13.9918      -0.1732      14.1650  2435.2
0.4510          13.9705      -0.1825      14.1529  2433.2
0.4520          13.9588      -0.1906      14.1495  2432.6
0.4530          13.9296      -0.1988      14.1285  2429.0
0.4540          13.8928      -0.2076      14.1004  2424.1
0.4550          13.8415      -0.2181      14.0596  2417.1
0.4560          13.8122      -0.2330      14.0452  2414.6
0.4570          13.8371      -0.2533      14.0905  2422.4
0.4580          13.7926      -0.2803      14.0730  2419.4
0.4590          13.7214      -0.3129      14.0343  2412.8
0.4600          13.7305      -0.3508      14.0814  2420.9
0.4610          13.7037      -0.3929      14.0966  2423.5
0.4620          13.7100      -0.4387      14.1487  2432.4
0.4630          13.6893      -0.4875      14.1768  2437.3
0.4640          13.6422      -0.5377      14.1799  2437.8
0.4650          13.6468      -0.5881      14.2349  2447.2
0.4660          13.6250      -0.6385      14.2635  2452.2
0.4670          13.6350      -0.6873      14.3223  2462.3
0.4680          13.6160      -0.7348      14.3508  2467.2
0.4690          13.6088      -0.7808      14.3896  2473.8
0.4700          13.5607      -0.8259      14.3865  2473.3
0.4710          13.5684      -0.8712      14.4396  2482.4
0.4720          13.5789      -0.9169      14.4958  2492.1
0.4730          13.4709      -0.9635      14.4344  2481.6
0.4740          13.4270      -1.0108      14.4379  2482.1
0.4750          13.3797      -1.0599      14.4396  2482.4
0.4760          13.3633      -1.1093      14.4727  2488.1
0.4770          13.3011      -1.1607      14.4619  2486.3
0.4780          13.2845      -1.2137      14.4982  2492.5
0.4790          13.2368      -1.2664      14.5032  2493.4
0.4800          13.1505      -1.3167      14.4672  2487.2
0.4810          13.1370      -1.3640      14.5010  2493.0
0.4820          13.1163      -1.4097      14.5260  2497.3
0.4830          13.1345      -1.4525      14.5870  2507.8
0.4840          13.1035      -1.4907      14.5942  2509.0
0.4850          13.0983      -1.5244      14.6227  2513.9
0.4860          13.0670      -1.5521      14.6191  2513.3
0.4870          13.0870      -1.5730      14.6599  2520.3
0.4880          13.1147      -1.5862      14.7009  2527.4
0.4890          13.0235      -1.5928      14.6163  2512.8
0.4900          12.9384      -1.5902      14.5286  2497.7
0.4910          12.9148      -1.5784      14.4932  2491.6
0.4920          12.8762      -1.5579      14.4341  2481.5
0.4930          12.8846      -1.5270      14.4116  2477.6
0.4940          12.8958      -1.4858      14.3816  2472.5
0.4950          12.8822      -1.4350      14.3172  2461.4
0.4960          12.8546      -1.3753      14.2300  2446.4
0.4970          12.8447      -1.3073      14.1520  2433.0
0.4980          12.8128      -1.2312      14.0441  2414.4
0.4990          12.6889      -1.1488      13.8377  2379.0
0.5000          12.7023      -1.0610      13.7633  2366.2
0.5010          12.7553      -0.9687      13.7240  2359.4
0.5020          12.7003      -0.8734      13.5736  2333.6
0.5030          12.6561      -0.7758      13.4319  2309.2
0.5040          12.6941      -0.6812      13.3754  2299.5
0.5050          12.5969      -0.5944      13.1914  2267.8
0.5060          12.5801      -0.5176      13.0977  2251.7
0.5070          12.5220      -0.4539      12.9759  2230.8
0.5080          12.5380      -0.4063      12.9443  2225.4
0.5090          12.5229      -0.3796      12.9025  2218.2
0.5100          12.4916      -0.3733      12.8649  2211.7
0.5110          12.5015      -0.3850      12.8864  2215.4
0.5120          12.5311      -0.4139      12.9451  2225.5
0.5130          12.5537      -0.4573      13.0109  2236.8
0.5140          12.4566      -0.5130      12.9695  2229.7
0.5150          12.4238      -0.5761      13.0000  2234.9
0.5160          12.4188      -0.6454      13.0642  2246.0
0.5170          12.3999      -0.7185      13.1185  2255.3
0.5180          12.3909      -0.7934      13.1844  2266.6
0.5190          12.4052      -0.8684      13.2736  2282.0
0.5200          12.4143      -0.9426      13.3569  2296.3
0.5210          12.4010      -1.0156      13.4166  2306.6
0.5220          12.3408      -1.0885      13.4293  2308.8
0.5230          12.3346      -1.1599      13.4944  2319.9
0.5240          12.3041      -1.2302      13.5342  2326.8
0.5250          12.2468      -1.2995      13.5463  2328.9
0.5260          12.2174      -1.3666      13.5840  2335.3
0.5270          12.1951      -1.4311      13.6262  2342.6
0.5280          12.2039      -1.4933      13.6971  2354.8
0.5290          12.1160      -1.5531      13.6691  2350.0
0.5300          12.0743      -1.6092      13.6835  2352.5
0.5310          11.9738      -1.6597      13.6335  2343.8
0.5320          11.9447      -1.7057      13.6504  2346.8
0.5330          11.8827      -1.7448      13.6275  2342.8
0.5340          11.8328      -1.7751      13.6079  2339.5
0.5350          11.8115      -1.7955      13.6070  2339.3
0.5360          11.8445      -1.8058      13.6503  2346.7
0.5370          11.8757      -1.8048      13.6806  2352.0
0.5380          11.8454      -1.7916      13.6370  2344.5
0.5390          11.8449      -1.7668      13.6117  2340.1
0.5400          11.8071      -1.7304      13.5375  2327.4
0.5410          11.8317      -1.6831      13.5148  2323.4
0.5420          11.8153      -1.6265      13.4419  2310.9
0.5430          11.7981      -1.5622      13.3604  2296.9
0.5440          11.8221      -1.4910      13.3131  2288.8
0.5450          11.7544      -1.4135      13.1679  2263.8
0.5460          11.7469      -1.3338      13.0807  2248.8
0.5470          11.7257      -1.2542      12.9799  2231.5
0.5480          11.6645      -1.1746      12.8391  2207.3
0.5490          11.6349      -1.0985      12.7334  2189.1
0.5500          11.6164      -1.0291      12.6455  2174.0
