Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000          28.2636      28.2636       0.0000     0.0
0.0010          28.2643      27.8328       0.4315    74.2
0.0020          28.2810      26.5721       1.7088   293.8
0.0030          28.2607      24.6235       3.6372   625.3
0.0040          28.2399      22.1811       6.0588  1041.6
0.0050          28.2346      19.4561       8.7785  1509.2
0.0060          28.1989      16.6455      11.5533  1986.2
0.0070          28.1318      13.9141      14.2176  2444.3
0.0080          28.0893      11.3791      16.7102  2872.8
0.0090          28.0309       9.1088      18.9221  3253.1
0.0100          27.9719       7.1351      20.8368  3582.2
0.0110          27.9533       5.4666      22.4867  3865.9
0.0120          27.9434       4.0861      23.8573  4101.5
0.0130          27.8717       2.9734      24.8983  4280.5
0.0140          27.8310       2.1009      25.7301  4423.5
0.0150          27.7546       1.4422      26.3124  4523.6
0.0160          27.5810       0.9752      26.6058  4574.0
0.0170          27.5118       0.6816      26.8302  4612.6
0.0180          27.5202       0.5485      26.9717  4637.0
0.0190          27.5185       0.5704      26.9481  4632.9
0.0200          27.4476       0.7481      26.6995  4590.2
0.0210          27.4373       1.0881      26.3492  4529.9
0.0220          27.3012       1.6025      25.6987  4418.1
0.0230          27.2941       2.3088      24.9853  4295.4
0.0240          27.2228       3.2289      23.9939  4125.0
0.0250          27.2052       4.3873      22.8179  3922.8
0.0260          27.1239       5.8058      21.3181  3665.0
0.0270          27.0720       7.5002      19.5718  3364.8
0.0280          27.0429       9.4760      17.5669  3020.1
0.0290          27.0466      11.7165      15.3301  2635.5
0.0300          26.9971      14.1777      12.8193  2203.9
0.0310          27.0055      16.7783      10.2272  1758.2
0.0320          27.0258      19.3928       7.6330  1312.3
0.0330          27.0257      21.8653       5.1605   887.2
0.0340          27.0367      24.0073       3.0295   520.8
0.0350          27.0509      25.6410       1.4100   242.4
0.0360          27.0684      26.6085       0.4599    79.1
0.0370          27.0628      26.8024       0.2604    44.8
0.0380          27.0601      26.2091       0.8509   146.3
0.0390          27.0654      24.8938       2.1716   373.3
0.0400          27.0584      22.9905       4.0679   699.4
0.0410          27.0724      20.6705       6.4019  1100.6
0.0420          27.0953      18.1189       8.9765  1543.2
0.0430          27.1084      15.5050      11.6034  1994.8
0.0440          27.0649      12.9774      14.0875  2421.9
0.0450          27.0459      10.6353      16.4106  2821.3
0.0460          26.9882       8.5381      18.4501  3171.9
0.0470          26.9604       6.7123      20.2481  3481.0
0.0480          26.9500       5.1631      21.7869  3745.6
0.0490          26.8739       3.8793      22.9946  3953.2
0.0500          26.7789       2.8409      23.9381  4115.4
0.0510          26.6651       2.0255      24.6396  4236.0
0.0520          26.6657       1.4091      25.2567  4342.1
0.0530          26.5770       0.9714      25.6056  4402.1
0.0540          26.5543       0.6971      25.8572  4445.3
0.0550          26.5616       0.5760      25.9856  4467.4
0.0560          26.4758       0.6034      25.8724  4448.0
0.0570          26.4351       0.7801      25.6551  4410.6
0.0580          26.3890       1.1118      25.2772  4345.6
0.0590          26.3144       1.6093      24.7051  4247.3
0.0600          26.3022       2.2877      24.0144  4128.5
0.0610          26.1839       3.1657      23.0182  3957.3
0.0620          26.1151       4.2612      21.8539  3757.1
0.0630          26.0820       5.5914      20.4906  3522.7
0.0640          26.0119       7.1671      18.8449  3239.8
0.0650          26.0467       8.9895      17.0572  2932.5
0.0660          25.9979      11.0383      14.9595  2571.8
0.0670          25.9304      13.2634      12.6670  2177.7
0.0680          25.9543      15.5901      10.3642  1781.8
0.0690          25.9671      17.9153       8.0518  1384.2
0.0700          25.9396      20.1003       5.8394  1003.9
0.0710          25.9323      21.9830       3.9493   679.0
0.0720          25.9546      23.4307       2.5239   433.9
0.0730          25.9689      24.3210       1.6479   283.3
0.0740          25.9743      24.5772       1.3970   240.2
0.0750          25.9824      24.1800       1.8024   309.9
0.0760          25.9861      23.1773       2.8088   482.9
0.0770          25.9822      21.6543       4.3279   744.0
0.0780          25.9372      19.7499       6.1873  1063.7
0.0790          25.8949      17.6117       8.2832  1424.0
0.0800          25.8667      15.3675      10.4992  1805.0
0.0810          25.9098      13.1359      12.7739  2196.1
0.0820          25.8810      11.0062      14.8748  2557.3
0.0830          25.8925       9.0446      16.8480  2896.5
0.0840          25.8299       7.2894      18.5405  3187.5
0.0850          25.7634       5.7587      20.0047  3439.2
0.0860          25.6714       4.4554      21.2160  3647.4
0.0870          25.6523       3.3691      22.2832  3830.9
0.0880          25.6907       2.4823      23.2084  3990.0
0.0890          25.6633       1.7778      23.8854  4106.4
0.0900          25.5007       1.2420      24.2588  4170.5
0.0910          25.4768       0.8594      24.6175  4232.2
0.0920          25.4046       0.6180      24.7866  4261.3
0.0930          25.3236       0.5088      24.8148  4266.1
0.0940          25.1536       0.5273      24.6264  4233.7
0.0950          25.0814       0.6719      24.4095  4196.5
0.0960          24.9145       0.9454      23.9690  4120.7
0.0970          24.9002       1.3535      23.5467  4048.1
0.0980          24.8857       1.9052      22.9804  3950.8
0.0990          24.8070       2.6096      22.1974  3816.1
0.1000          24.7360       3.4756      21.2604  3655.1
0.1010          24.6825       4.5086      20.1738  3468.3
0.1020          24.6239       5.7092      18.9147  3251.8
0.1030          24.6352       7.0710      17.5642  3019.6
0.1040          24.5956       8.5730      16.0226  2754.6
0.1050          24.5699      10.1755      14.3945  2474.7
0.1060          24.6202      11.8217      12.7985  2200.3
0.1070          24.5782      13.4442      11.1340  1914.1
0.1080          24.5607      14.9560       9.6047  1651.2
0.1090          24.5945      16.2727       8.3218  1430.7
0.1100          24.6556      17.3240       7.3316  1260.4
0.1110          24.6376      18.0418       6.5957  1133.9
0.1120          24.6004      18.3778       6.2226  1069.8
0.1130          24.6432      18.3262       6.3169  1086.0
0.1140          24.6121      17.9105       6.7016  1152.1
0.1150          24.5287      17.1684       7.3603  1265.4
0.1160          24.5349      16.1583       8.3765  1440.1
0.1170          24.5005      14.9409       9.5596  1643.5
0.1180          24.4941      13.5873      10.9068  1875.1
0.1190          24.5270      12.1631      12.3639  2125.6
0.1200          24.4900      10.7289      13.7611  2365.8
0.1210          24.4951       9.3339      15.1612  2606.5
0.1220          24.4617       8.0153      16.4465  2827.5
0.1230          24.4377       6.7981      17.6396  3032.6
0.1240          24.4211       5.6981      18.7230  3218.8
0.1250          24.3893       4.7237      19.6656  3380.9
0.1260          24.4145       3.8746      20.5398  3531.2
0.1270          24.3703       3.1490      21.2213  3648.3
0.1280          24.3363       2.5401      21.7962  3747.2
0.1290          24.2474       2.0393      22.2082  3818.0
0.1300          24.1831       1.6387      22.5444  3875.8
0.1310          24.1714       1.3261      22.8454  3927.6
0.1320          24.0930       1.0928      23.0002  3954.2
0.1330          24.0678       0.9306      23.1371  3977.7
0.1340          23.9943       0.8319      23.1624  3982.1
0.1350          24.0220       0.7904      23.2316  3993.9
0.1360          23.9104       0.8022      23.1081  3972.7
0.1370          23.8561       0.8652      22.9909  3952.6
0.1380          23.7412       0.9776      22.7637  3913.5
0.1390          23.7345       1.1390      22.5955  3884.6
